semantic name,provider reference,family,source,v1 policy
dashboard,solar:home-angle-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
module,solar:widget-5-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
modules,solar:notes-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
course,solar:notebook-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
menu,solar:list-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
sidebar,solar:sidebar-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
home,solar:home-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
back,solar:alt-arrow-left-linear,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
forward,solar:alt-arrow-right-linear,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
chevronLeft,solar:alt-arrow-left-linear,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
chevronRight,solar:alt-arrow-right-linear,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
chevronDown,solar:alt-arrow-down-linear,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
chevronUp,solar:alt-arrow-up-linear,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
arrowLeft,solar:alt-arrow-left-linear,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
arrowRight,solar:alt-arrow-right-linear,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
externalLink,solar:arrow-right-up-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
add,solar:add-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
edit,solar:pen-new-square-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
delete,solar:trash-bin-trash-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
archive,solar:archive-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
restore,solar:restart-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
duplicate,solar:copy-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
copy,solar:copy-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
save,solar:diskette-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
submit,solar:plain-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
approve,solar:check-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
reject,solar:close-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
verify,solar:verified-check-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
close,solar:close-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
cancel,solar:close-square-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
refresh,solar:restart-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
retry,solar:restart-circle-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
upload,solar:upload-minimalistic-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
download,solar:download-minimalistic-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
export,solar:file-download-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
import,solar:file-upload-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
print,solar:printer-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
share,solar:share-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
filter,solar:filter-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
search,solar:card-search-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
sort,solar:sort-vertical-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
reorder,solar:sort-vertical-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
expand,solar:alt-arrow-down-linear,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
collapse,solar:alt-arrow-up-linear,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
more,solar:menu-dots-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
settings,solar:settings-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
logout,solar:logout-3-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
success,solar:check-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
check,solar:check-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
checkRead,solar:check-read-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
warning,solar:danger-triangle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
alert,solar:danger-triangle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
error,solar:danger-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
alertCircle,solar:danger-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
info,solar:info-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
pending,solar:clock-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
clock,solar:clock-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
blocked,solar:lock-keyhole-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
active,solar:record-circle-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
circle,solar:record-circle-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
inactive,solar:minus-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
minus,solar:minus-circle-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
verified,solar:verified-check-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
flag,solar:flag-2-bold,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
chart,solar:chart-square-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
analytics,solar:chart-square-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
kpi,solar:chart-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
progress,solar:chart-square-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
trendUp,solar:graph-up-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
trendDown,solar:graph-down-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
trend,solar:graph-up-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
metric,solar:chart-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
target,solar:target-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
comparison,solar:chart-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
timeline,solar:history-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
report,solar:document-text-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
calculator,solar:calculator-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
wallet,solar:wallet-money-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
money,solar:money-bag-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
finance,solar:wallet-money-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
invoice,solar:bill-list-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
receipt,solar:bill-check-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
journal,solar:notebook-bookmark-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
debit,solar:arrow-right-down-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
credit,solar:arrow-right-up-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
bank,solar:bank-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
payment,solar:card-transfer-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
warehouse,ph:warehouse-duotone,Phosphor,AAPM Icon.jsx,preserve semantic name; compile locally
stock,solar:widget-add-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
item,solar:box-minimalistic-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
package,solar:box-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
transfer,solar:transfer-horizontal-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
mutation,solar:refresh-square-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
adjustment,solar:tuning-square-2-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
opname,solar:clipboard-check-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
farm,solar:home-add-bold-duotone,Solar,AAPM Icon.jsx,preserve semantic name; compile locally
